Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,288,288,5,5.471672597222122,0.8838330000031647,76.20170800000004,0.0,4.865273221868769,4.865273221868769,5,6,6,6,7,8,9,10,76,76,76
POST,web端订单列表,288,288,3,3.2368923784723598,0.8280409999983362,8.199791999999206,0.0,4.865273221868769,4.865273221868769,3,4,4,4,5,5,7,7,8,8,8
POST,售后列表功能正常,288,288,3,3.0529605138889218,0.8400420000000963,33.69545900000048,0.0,4.865273221868769,4.865273221868769,3,4,4,4,4,5,6,7,34,34,34
,Aggregated,864,864,4,3.9205084965278014,0.8280409999983362,76.20170800000004,0.0,14.595819665606308,14.595819665606308,4,4,5,5,6,7,8,9,76,76,76
