"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","用户web端登录","tests","Fri Sep 26 15:00:40 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
"","106","用户web端登录","tests","Fri Sep 26 15:00:40 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
"","200","用户web端登录","tests","Fri Sep 26 15:00:39 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
"","118","用户web端登录","tests","Fri Sep 26 15:00:40 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
"","151","用户web端登录","tests","Fri Sep 26 15:00:40 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
"","115","用户web端登录","tests","Fri Sep 26 15:00:40 CST 2025","passed","Fri Sep 26 15:00:40 CST 2025","TestAllCases","test_all_cases","",""
