Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,3,0,550.0,527.0804996666667,480.55958300000026,554.2897079999998,227.0,0.8945845300135102,0.0,550,550,550,550,550,550,550,550,550,550,550
POST,web端订单列表,3,0,130.0,147.71480533333317,115.51633299999997,196.038583,105.0,0.8945845300135102,0.0,130,130,200,200,200,200,200,200,200,200,200
POST,售后列表功能正常,3,0,130.0,130.2501943333334,114.13141599999999,143.97804200000007,106.0,0.8945845300135102,0.0,130,130,140,140,140,140,140,140,140,140,140
,Aggregated,9,0,140.0,268.34849977777776,114.13141599999999,554.2897079999998,146.0,2.6837535900405305,0.0,140,200,480,550,550,550,550,550,550,550,550
