Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,202,0,500.0,627.8570174950495,379.61066700000146,2174.037791,227.0,3.4581552171268095,0.0,500,540,640,810,1100,1200,1300,1300,2200,2200,2200
POST,web端订单列表,202,0,61,91.26925556930694,18.41187499999819,786.8068749999964,85.67326732673267,3.4581552171268095,0.0,63,120,130,150,160,180,230,230,790,790,790
POST,售后列表功能正常,202,0,140.0,151.5795189752476,102.48941699999747,1276.487166999999,106.0,3.4581552171268095,0.0,140,150,160,170,200,210,260,290,1300,1300,1300
,Aggregated,606,0,150.0,290.23526401320123,18.41187499999819,2174.037791,139.55775577557756,10.37446565138043,0.0,150,290,450,470,590,1100,1200,1300,2200,2200,2200
