"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","使用全局请求头token套件","1","0","售后列表功能正常","0"
"0","","0","使用全局请求头token套件","1","0","退款列表正常","0"
