Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,222,1,350.0,383.73006537387374,269.78599999999983,934.623375000001,226.53153153153153,3.751121483558856,0.016896943619634487,350,380,420,450,510,600,660,720,930,930,930
POST,web端订单列表,222,0,41,73.8211735990993,15.283457999998973,205.6575830000007,84.53153153153153,3.751121483558856,0.0,42,110,120,130,140,160,180,190,210,210,210
POST,售后列表功能正常,222,0,130.0,134.19018335135155,97.39241700000179,245.07283300000182,106.0,3.751121483558856,0.0,130,140,150,150,170,200,220,220,250,250,250
,Aggregated,666,1,140.0,197.24714077477498,15.283457999998973,934.623375000001,139.02102102102103,11.253364450676568,0.016896943619634487,140,220,320,340,400,470,580,660,930,930,930
