Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,111,0,410.0,481.95942451351385,315.9394170000027,1274.1272919999992,227.0,1.8734588601518778,0.0,410,460,550,610,730,810,1000,1100,1300,1300,1300
POST,web端订单列表,111,0,120.0,109.22915166666635,20.70262499999842,295.2197500000011,96.06306306306307,1.8734588601518778,0.0,120,130,140,140,160,190,230,250,300,300,300
POST,售后列表功能正常,111,0,120.0,127.83688888288343,88.8626660000007,239.67745800000273,106.0,1.8734588601518778,0.0,120,130,130,140,160,180,210,220,240,240,240
,Aggregated,333,0,130.0,239.6751550210213,20.70262499999842,1274.1272919999992,143.02102102102103,5.620376580455633,0.0,130,240,360,390,500,690,800,950,1300,1300,1300
