"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","用户web端登录","tests","Fri Sep 26 14:59:19 CST 2025","passed","Fri Sep 26 14:59:19 CST 2025","TestAllCases","test_all_cases","",""
"","89","用户web端登录","tests","Fri Sep 26 14:59:19 CST 2025","passed","Fri Sep 26 14:59:19 CST 2025","TestAllCases","test_all_cases","",""
"","145","用户web端登录","tests","Fri Sep 26 14:59:18 CST 2025","passed","Fri Sep 26 14:59:19 CST 2025","TestAllCases","test_all_cases","",""
