"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","测试执行策略的套件","0","0","web端订单列表","0"
"0","","0","测试执行策略的套件","1","0","web端登录密码正确","0"
"0","","0","测试执行策略的套件","1","0","售后列表功能正常","0"
