"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","设置3个token","1","0","售后列表功能正常","0"
"0","","0","设置3个token","1","0","退款列表正常","0"
"0","","0","设置3个token","1","0","web端登录密码正确","0"
