"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","91","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","103","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","142","用户web端登录","tests","Fri Sep 26 12:03:27 CST 2025","passed","Fri Sep 26 12:03:27 CST 2025","TestAllCases","test_all_cases","",""
"","95","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","243","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","106","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","84","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:26 CST 2025","TestAllCases","test_all_cases","",""
"","101","用户web端登录","tests","Fri Sep 26 12:03:26 CST 2025","passed","Fri Sep 26 12:03:27 CST 2025","TestAllCases","test_all_cases","",""
