"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","接口测试","0","0","web端订单列表","0"
"1","","0","接口测试","0","0","售后列表功能正常","0"
