Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,web端登录密码正确,220,0,410.0,487.6088278363636,325.57766700000104,1313.356374999998,227.0,3.711796997199777,0.0,410,440,480,520,860,970,1100,1100,1300,1300,1300
POST,web端订单列表,219,0,36,68.28243247488592,15.198750000003258,244.61054199999666,84.68949771689498,3.6949251926670508,0.0,36,110,120,120,130,150,170,210,240,240,240
POST,售后列表功能正常,219,0,120.0,121.54313738356181,92.71316700000654,211.60554200000092,106.0,3.6949251926670508,0.0,120,130,130,130,140,160,170,180,210,210,210
,Aggregated,658,0,130.0,226.2093342294834,15.198750000003258,1313.356374999998,139.36322188449847,11.101647382533878,0.0,130,210,380,400,450,690,970,1000,1300,1300,1300
