"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","有登录前置的套件(取执行中的token)","1","0","web端登录密码正确","0"
"0","","1","有登录前置的套件(取执行中的token)","0","0","退款列表正常","0"
"0","","0","有登录前置的套件(取执行中的token)","1","0","web端订单列表","0"
