"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","360","web端登录密码正确","","2026-03-24","passed","2026-03-24","","有登录前置的套件(取执行中的token)","",""
"","174","退款列表正常","","2026-03-24","failed","2026-03-24","","有登录前置的套件(取执行中的token)","",""
"","130","web端订单列表","","2026-03-24","passed","2026-03-24","","有登录前置的套件(取执行中的token)","",""
