"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","使用套件变量token的套件","1","0","售后列表功能正常","0"
"0","","0","使用套件变量token的套件","1","0","web端订单列表","0"
